rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,12,AgroPlay
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,13,Marília Mendonça
3,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,2,3,5,KayBlack
4,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,4,8,9,Israel & Rodolffo
5,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,5,5,12,Simone Mendes
6,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,4,6,11,Zé Neto & Cristiano
7,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,9,13,Henrique & Juliano
8,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),4,4,4,MC PH
9,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,3,11,13,Israel & Rodolffo
10,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,7,10,13,Matheus & Kauan
11,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,7,7,5,KayBlack
12,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,12,12,12,Guilherme & Benuto
13,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,4,14,13,Gustavo Mioto
14,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,4,16,13,WIU
15,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,13,15,5,KayBlack
16,spotify:track:5v8EhStRWlvoY2qbcZR5R2,Mágica - Ao Vivo,16,17,5,Hugo & Guilherme
17,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,3,13,12,MC Xenon
18,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),18,—,1,Matuê
19,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,18,18,7,Clayton & Romário
20,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,20,21,6,Luan Pereira
21,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,9,23,8,MC Kevin o Chris
22,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,3,19,7,Zé Felipe
23,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,17,24,13,Gustavo Mioto
24,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,19,26,6,Henrique & Juliano
25,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,12,25,13,Maiara & Maraisa
26,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,15,20,13,Gusttavo Lima
27,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,21,30,13,NATTAN
28,spotify:track:5qOZbLAjBqInXwAECb9NRS,Clickbait,28,—,1,Veigh
29,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,29,39,7,Grupo Menos É Mais
30,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,17,31,13,Matheus & Kauan
31,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,21,32,13,Ana Castela
32,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,24,34,9,MC Rogerinho
33,spotify:track:2orGm2E68ODFYOURjaES62,Felina,14,29,13,WIU
34,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,25,35,13,Israel & Rodolffo
35,spotify:track:6BsKZXjKIrGWMK1uLWfJYN,Sal e Pimenta,20,28,5,KayBlack
36,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,13,42,12,KayBlack
37,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,25,41,13,Naiara Azevedo
38,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,23,27,13,Veigh
39,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,26,37,13,Guilherme & Benuto
40,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,15,45,13,Zé Felipe
41,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,38,13,Leo Santana
42,spotify:track:3O2wrDL7nnSDZOrdZqxyoY,Noite Fria,10,40,9,Mc IG
43,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,19,47,13,Orochi
44,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,32,36,8,Hugo & Guilherme
45,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,45,49,3,Gusttavo Lima
46,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,27,44,13,Jorge & Mateus
47,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,31,43,13,Felipe e Rodrigo
48,spotify:track:52kcarcX0FQ6wPulXm2bMJ,Meca Cereja,46,50,13,Vulgo FK
