rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,1,1,14,Manu
2,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,2,16,Dj GBR
3,spotify:track:6XvFnICxXsVc8OK4eh1E9b,Tem Café,3,8,4,Henry Freitas
4,spotify:track:2sYFUcurlISdHlAsnYCEgD,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,3,3,3,Lauana Prado
5,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,4,42,Grupo Menos É Mais
6,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,5,24,Felipe Amorim
7,spotify:track:1GOS5OIo4KywJF7Fw9QR4E,A Gente Se Entrega,7,10,12,NATTAN
8,spotify:track:2twZl1jsRbJRTNCE6VB6eW,10 Carros,3,7,6,Chefin
9,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,6,6,14,Simone Mendes
10,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,DEJA VU,10,12,4,Luan Santana
11,spotify:track:7MLX5VV97CcXIpH2QUIy13,Pane no Sistema,5,11,11,GREGO
12,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,4,9,11,Tropa do Bruxo
13,spotify:track:697gwO5YoSGVAnlfREIZll,Tenho Que Me Decidir,7,13,4,MC PH
14,spotify:track:0wuj2T6IZtotux1Jjluo7m,Cama Repetida,13,17,7,Leo Santana
15,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,20,53,NATTAN
16,spotify:track:00rxTS5TKv3oXpDA6nWfBi,Maria Mariah,16,74,2,JC NO BEAT
17,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,2,15,47,Simone Mendes
18,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,2,18,23,Felipe Amorim
19,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,7,14,31,Guilherme & Benuto
20,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,3,16,36,Eric Land
