rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,1,1,3,Hugo & Guilherme
2,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,2,2,7,Xamã
3,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,3,10,Gusttavo Lima
4,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,4,15,George Henrique & Rodrigo
5,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,5,5,8,Jorge & Mateus
6,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,6,16,Marília Mendonça
7,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,7,9,3,Chefin
8,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,8,16,Henrique & Juliano
9,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,7,13,Marília Mendonça
10,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,5,10,12,Zé Felipe
11,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,10,12,12,Mari Fernandez
12,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,5,13,16,Henrique & Juliano
13,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,11,11,8,DJ Matt D
14,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,5,15,16,PEDRO SAMPAIO
15,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,15,16,8,Matheus & Kauan
16,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,2,14,15,Paulo Pires
17,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,12,17,16,Tayrone
18,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,18,16,Marília Mendonça
19,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,17,20,15,Henrique & Juliano
20,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,20,31,9,Wesley Safadão
21,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,21,—,1,Zé Felipe
22,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,19,16,Zé Neto & Cristiano
23,spotify:track:2SDGleyRLDrYZeMsZEK3Vb,Dar uma Namorada - Ao Vivo,19,21,11,Israel & Rodolffo
24,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,6,22,14,MC Levin
25,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,24,29,8,Anitta
26,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,3,23,16,Gusttavo Lima
27,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,5,28,16,Zé Felipe
28,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,23,26,16,Max e Luan
29,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,23,24,16,Clayton & Romário
30,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,17,34,16,Marília Mendonça
31,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,31,52,3,Mc Don Juan
32,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,2,27,16,Avine Vinny
33,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,33,—,1,Anitta
34,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,34,64,2,Dj Guuga
35,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,12,25,16,Matheus & Kauan
36,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,13,30,16,Felipe Amorim
37,spotify:track:452LVnTBjXYW3guqe3xiqI,Vamo Tomar Uma,25,35,16,Zé Neto & Cristiano
38,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,9,33,16,Zé Neto & Cristiano
39,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,32,32,10,Mc Davi
40,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,40,—,1,Zé Neto & Cristiano
41,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,41,59,3,Simone & Simaria
42,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,42,42,5,Luísa Sonza
43,spotify:track:7kcrUZ5B8VIVtzmUlkjlhj,Seu Perfil - Ao Vivo,43,—,1,Henrique & Juliano
44,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,44,61,2,Jão
45,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,15,37,16,Gusttavo Lima
46,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,8,36,16,Mc Anjim
47,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,16,43,15,Marina Sena
48,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,38,38,5,Melody
49,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,13,40,16,Diego & Victor Hugo
50,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,18,39,16,Vitor e Luan
51,spotify:track:1TyxXIXVVpHwhKaF73z8nw,Rasteira - Ao Vivo,26,49,16,Henrique & Juliano
52,spotify:track:6wrkP23fHC8KDHCfs8MpJ9,Chá De Casa Nova - Ao Vivo,41,50,8,Henrique & Juliano
53,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,11,41,16,João Gomes
54,spotify:track:67fTDdGkHk1G5IZokS4uML,Esse Barulho,54,72,2,Murilo Huff
55,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,22,45,16,Matheus Fernandes
56,spotify:track:6JIIejoN31NIn6BJsVS3cu,Oi Deus - Ao Vivo,24,48,14,Hugo & Guilherme
57,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,21,46,16,Luan Santana
58,spotify:track:17QN5kFprJqHdHLMj7hz4s,Ficha Limpa - Ao Vivo,9,44,16,Gusttavo Lima
59,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,24,47,16,Tarcísio do Acordeon
60,spotify:track:0j8nXyOr5UXWHqy0BBnZ6L,Dá Intimidade Pra Ver - Ao Vivo,51,51,2,Israel & Rodolffo
61,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),61,—,1,MC Teteu
62,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,52,53,5,Matuê
63,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,14,56,13,Marília Mendonça
64,spotify:track:4OjLi2Ji9UhVsHjqzRGCsM,Quebrando Protocolo - Ao Vivo,34,57,14,Gusttavo Lima
65,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,55,55,5,Mc Poze do Rodo
66,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,29,58,16,Zé Felipe
