rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,1,5,Leo Santana
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,12,Marília Mendonça
4,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,4,5,8,NATTAN
5,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,2,14,13,WIU
6,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,3,4,4,Zé Felipe
7,spotify:track:7CIj5SFTB6WPJrYjLZN5bp,Pega o Guanabara - Ao Vivo,6,12,8,Wesley Safadão
8,spotify:track:4XpB5oBPuygG2Gbpi3PUhu,Cria Da Ivete - Ao Vivo,3,3,6,Ivete Sangalo
9,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,5,8,11,Anitta
10,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,13,13,Gustavo Mioto
11,spotify:track:6vtgGf9Xn7fsr6jr1aGSRt,Deixa eu botar meu boneco - Baile do Polly 2.0,3,6,9,Oh Polêmico
12,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,3,10,13,Israel & Rodolffo
13,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),2,9,13,Kadu Martins
14,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,11,11,7,Matheus Fernandes
15,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,12,28,11,MC Cabelinho
16,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,8,18,5,Teto
17,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,17,21,3,AgroPlay
18,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,18,23,4,Henrique & Juliano
19,spotify:track:2orGm2E68ODFYOURjaES62,Felina,3,26,13,WIU
20,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,4,33,13,Orochi
21,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,16,16,5,Gusttavo Lima
22,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,22,29,3,Matheus & Kauan
23,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,14,24,8,Mc Tato
24,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,22,22,3,MC Xenon
25,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,7,46,7,Miley Cyrus
26,spotify:track:7aZnuwpivaj4N7XFhhqBiO,Love Absurdo,19,19,3,Mari Fernandez
27,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,27,—,1,KayBlack
28,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,20,20,7,Sony no Beat
