rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,2,6,Guilherme & Benuto
2,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,1,4,Gusttavo Lima
3,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,3,4,2,Marília Mendonça
4,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,3,5,13,Jorge & Mateus
5,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,3,9,Ana Castela
6,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,7,29,Hugo & Guilherme
7,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,7,28,3,Mc Jacaré
8,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,6,7,Zé Felipe
9,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,7,11,7,L7NNON
10,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,1,9,16,Hugo & Guilherme
11,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,10,18,Gusttavo Lima
12,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,2,8,16,Luan Santana
13,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,12,12,3,Luísa Sonza
14,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,7,14,6,MC Tairon
15,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,13,15,20,Matheus & Kauan
16,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,6,13,19,Matheus Fernandes
17,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,15,16,10,Israel & Rodolffo
18,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,18,23,17,Paulo e Nathan
19,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,17,17,10,Murilo Huff
20,spotify:track:1rJFFWDXrlMS0C5JlbqFbI,Tem Cabaré Essa Noite,20,22,3,Nivaldo Marques
21,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,3,18,34,Jorge & Mateus
22,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,11,20,11,Mc Don Juan
23,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,7,30,11,Henrique & Juliano
24,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,25,41,George Henrique & Rodrigo
25,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,24,24,10,Mari Fernandez
26,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,21,14,MC Rogerinho
27,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,3,27,26,Luan Santana
28,spotify:track:4m1mqQuy34Nzh0480VR364,Incendeia,28,34,3,MC Kevin o Chris
29,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,3,26,20,Davi Kneip
30,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,5,31,42,Henrique & Juliano
31,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,15,29,12,João Gomes
32,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,5,19,18,Felipe Amorim
33,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,19,37,16,MC Braz
34,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,13,35,25,Guilherme & Benuto
35,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,35,44,4,Clayton & Romário
36,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,36,—,1,Jorge & Mateus
37,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,6,38,27,Zé Neto & Cristiano
38,spotify:track:4IX43MpJlpxzRMLb9QayrJ,PERIGO NOTURNO - Ao Vivo,28,33,5,Luan Santana
39,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),8,32,9,Gusttavo Lima
40,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,36,42,Marília Mendonça
41,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,19,40,35,Wesley Safadão
42,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,42,41,Henrique & Juliano
43,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,41,36,Gusttavo Lima
44,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,45,25,PEDRO SAMPAIO
45,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,45,68,2,Mc Paiva ZS
46,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,48,42,Henrique & Juliano
47,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,38,43,9,Wesley Safadão
48,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,18,47,19,João Bosco e Gabriel
49,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,16,53,18,Matuê
50,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,33,55,13,Leo Santana
51,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,20,56,19,Hugo & Guilherme
52,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,30,54,18,Harry Styles
53,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,25,51,8,Baco Exu do Blues
54,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,2,49,12,Jovem Dionisio
55,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,50,27,Zé Felipe
56,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,11,66,42,Tayrone
57,spotify:track:30rrBGpna63eIJ2BrXlWDC,Minha Cópia Atual - Ao Vivo,41,59,18,Henrique & Juliano
58,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,33,61,19,Mc Gabzin
59,spotify:track:6W56j9ijl9n2l76Hs4hgGn,Larga AÍ Pra Ver - Ao Vivo,51,64,17,Léo & Raphael
60,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,40,62,12,O Tubarão
61,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,61,—,1,Mc Poze do Rodo
62,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,24,70,14,Mc Pepeu
63,spotify:track:0HIhSuAe5lq7ywxqlAt5Nl,Deixa Ela Em Paz,52,57,6,Bruno & Marrone
64,spotify:track:20yfr4F5QmZ5V3Cu1Rx4Kp,Elevador - Ao Vivo,64,—,1,Lauana Prado
65,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,22,60,42,Marília Mendonça
66,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,20,67,42,Clayton & Romário
67,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,63,39,Marília Mendonça
68,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,23,71,18,Teto
69,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,2,58,33,Xamã
70,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,12,74,34,Matheus & Kauan
71,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),44,65,10,Kate Bush
72,spotify:track:1TyxXIXVVpHwhKaF73z8nw,Rasteira - Ao Vivo,27,69,42,Henrique & Juliano
73,spotify:track:3QxKHcpNt6CWNUYCLLBHeZ,Escolhe o Bandido,73,77,2,MC CH da Z.O
74,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,24,72,25,George Henrique & Rodrigo
75,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,75,—,1,Mc Paiva ZS
